text,user,location,genre,sentiment
New logo for our tshirts zombie radio bbcyorkshire rockband vocalist guitarist drummer planetrockradio rockmusic joker bbc plectrum gibson passion musiclover musicproduction composition singer songwriter acousticmusic artist popular pop blues Facebook ,AmongJoker,,rock,0.36818181818181817
Robert Trujillo Recalls The WorstEver Metallica Doodle With Kirk Hammett classicrock rocknroll rockmusic rockband ,KGBSanDiego,San Diego CA,rock,0.0
She Drinks My Whiskey by  on SoundCloud np  rock rockmusic indie indiemusic,HVirock,Columbus GA,rock,0.0
If you havent already check out my metal cover of Aviciis Without You Full link  music metalmusic rockmusic coversong aviciiwithoutyou aviciicover withoutyoucover ,KristianPopov7,,rock,0.35
Alright whats it gonna be linkinpark pantera nirvana aliceinchains dime dimebag chesterbennington kurtcobain grunge grungemusic rock metal hardrock rockstar metalmeme meme metalmemes memes metalhead rockmusic vocalist bestband musicians musician ,HeadRushTV,Boston MA USA,rock,0.0
Why so serious    MUSIC MUSICISLIFE METAL metalheads metalcore nwoahm GrooveMetal deathcore liveformusic rock rockmusic killclif killclifmusic numetal thrashmetal punkhardcore nucore AltMetal ,killclif,,rock,-0.3333333333333333
Birds crossing low on money 62120  via  music arr music artists bluesmusic dolbyon rockmusic entertainment musically musicaltheatre fenderamps ,Michael88310956,123 briar lane derry pa 15627,rock,0.0
Birds crossing eye on 62120  via  music radio entertainment rocknroll dolbyon fenderstratocaster fendersquier fenderamps bluesmusic guitar poem artists artistsontwitter rapmusic rockmusic ,Michael88310956,123 briar lane derry pa 15627,rock,0.0
Unexpected day off music round 3 I finally dig out my copy of this Alex Kane A couple more cleanings and plays and itll be rehabbed rockmusic glamrock ,glasmith,Warren MI,rock,0.1
AMERICAN FLAG   puddleofmudd puddleofmuddmerch merchandise musicband rock rockband rockmusic alternative alternativerock alternativerockmusic grunge shoppingonline ,puddleofmudd,Los Angeles CA,rock,0.0
I do not disapprove What do you think  rockmusic 21centuryRock TheDarkness music  ,lushanturner,Johannesburg South Africa,rock,0.0
ANDY STERN from today on JAM RADIO ONLY THE NEWEST  rock classicrock countrymusic folkmusic BluesMusic Jazz folk Radio OnlineRadio radiostation music listen nowplaying ListenNow NewMusic rockmusic metal  ,jamonlineradio,Spain,rock,0.0
Been listening to  s channel Sunny Radio for the past couple of weeks amp Im loving it   nocommercials varietyofmusic oldies rockmusic popmusic,sareja86,Tennessee USA,rock,0.175
though it infuses EDM it is still indierock rockmusic your thoughts ttpswwwdistortedkidcom,distortedkidcom,Worcester MA,rock,0.0
Monday message from MJ Never underestimate the power of teenagers   Bayareamusic  SanFranciscomusic SanJosemusic rockmusic bluesmusic   alternativemusic indiemusic altindiemusic ,WOTPRadio,San Francisco CA,rock,0.0
